,categories,category_link
10,Healthy,https://www.ubereats.com/gb/search?kn=Healthy&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Healthy&sc=HOME_FEED_ITEM
11,Caribbean,https://www.ubereats.com/gb/search?kn=Caribbean&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Caribbean&sc=HOME_FEED_ITEM
12,Burgers,https://www.ubereats.com/gb/search?kn=Burger&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Burgers&sc=HOME_FEED_ITEM
13,Kebab,https://www.ubereats.com/gb/search?kn=Kebab&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Kebab&sc=HOME_FEED_ITEM
14,Bubble tea,https://www.ubereats.com/gb/search?kn=BubbleTea&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Bubble%20tea&sc=HOME_FEED_ITEM
15,Desserts,https://www.ubereats.com/gb/search?kn=Dessert&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Desserts&sc=HOME_FEED_ITEM
16,Korean,https://www.ubereats.com/gb/search?kn=Korean&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Korean&sc=HOME_FEED_ITEM
17,Thai,https://www.ubereats.com/gb/search?kn=Thai&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Thai&sc=HOME_FEED_ITEM
18,Wings,https://www.ubereats.com/gb/search?kn=Wings&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Wings&sc=HOME_FEED_ITEM
19,Sandwich,https://www.ubereats.com/gb/search?kn=Sandwich&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlNvdXRoJTIwS2Vuc2luZ3RvbiUyMFVuZGVyZ3JvdW5kJTIwTWV0cm8lMjBTdGF0aW9uJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyNDJjZDhjOWUtODZiYy01YmU4LTZlMGEtMjU2YTEyZjFmMzFmJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0E1MS40OTQwODgyJTJDJTIybG9uZ2l0dWRlJTIyJTNBLTAuMTczOTE0OCU3RA%3D%3D&q=Sandwich&sc=HOME_FEED_ITEM
